period_start,site_id,cell_id,RRC_ConnEstabAtt_MOData,RRC_ConnEstabSucc_MOData,ERAB_EstabInitAttNbr_QCI1,ERAB_EstabInitSuccNbr_QCI1,HO_InterENBOutAtt,HO_InterENBOutSucc,RRU_PrbTotDl,RRU_PrbAvailDl,RRU_PrbTotUl,RRU_PrbAvailUl,PDCP_SDUVolumeDl_Bits,PDCP_SDUVolumeUl_Bits,DRB_IPThpDl_Kbps,DRB_IPThpUl_Kbps,Cell_UnavailableTime_S,RRC_ConnMax
2024-01-01 04:00:00,HWI002,HWI002-C1,267,265,230,229,86,84,12,100,11,100,161768578,47322947,49,14,0,19
2024-01-01 05:00:00,HWI002,HWI002-C1,264,261,223,221,89,87,18,100,5,100,253788767,23663642,70,6,0,20
2024-01-01 06:00:00,HWI002,HWI002-C1,1245,1236,1080,1079,425,419,51,100,22,100,724202227,101348206,214,28,180,73
2024-01-01 07:00:00,HWI002,HWI002-C1,1808,1797,1524,1522,618,606,77,100,48,100,1028075289,222087657,281,63,0,169
2024-01-01 08:00:00,HWI002,HWI002-C1,1849,1841,1572,1567,723,711,64,100,54,100,793312600,270791047,216,77,0,144
2024-01-01 09:00:00,HWI002,HWI002-C1,1839,1825,1548,1547,611,605,62,100,39,100,711925806,196904724,182,59,0,180
2024-01-01 10:00:00,HWI002,HWI002-C1,1576,1570,1391,1390,550,541,53,100,35,100,721295259,158831748,208,44,0,109
2024-01-01 11:00:00,HWI002,HWI002-C1,1591,1587,1315,1313,550,542,66,100,44,100,935458678,224732198,261,63,30,133
2024-01-01 12:00:00,HWI002,HWI002-C1,1613,1608,1373,1372,575,563,55,100,32,100,636010648,169980072,168,50,0,123
2024-01-01 13:00:00,HWI002,HWI002-C1,1457,1455,1222,1218,512,504,52,100,34,100,669816595,179088048,167,50,120,123
2024-01-01 14:00:00,HWI002,HWI002-C1,1171,1163,1042,1037,383,373,31,100,31,100,434926510,160928677,114,42,0,84
2024-01-01 15:00:00,HWI002,HWI002-C1,1178,1171,992,989,382,377,41,100,28,100,503116056,129513953,126,33,0,94
2024-01-01 16:00:00,HWI002,HWI002-C1,1130,1125,928,923,364,360,41,100,24,100,502968743,121994595,137,37,0,97
2024-01-01 17:00:00,HWI002,HWI002-C1,2246,2238,1956,1950,782,768,92,100,58,100,1086447669,290528257,316,75,0,183
2024-01-01 18:00:00,HWI002,HWI002-C1,2502,2484,2028,2026,805,792,89,100,57,100,1261965186,291319557,379,74,0,159
2024-01-01 19:00:00,HWI002,HWI002-C1,2326,2315,1906,1905,823,810,91,100,51,100,1302402157,255667946,331,74,10,175
2024-01-01 20:00:00,HWI002,HWI002-C1,2188,2180,1788,1787,852,844,88,100,56,100,1153243213,250603334,337,66,0,189
2024-01-01 21:00:00,HWI002,HWI002-C1,2257,2248,1880,1871,857,838,82,100,51,100,1120275680,226781863,288,66,5,149
2024-01-01 22:00:00,HWI002,HWI002-C1,1084,1077,878,876,363,358,45,100,35,100,587274271,158013351,159,46,0,94
2024-01-01 23:00:00,HWI002,HWI002-C1,1276,1271,1101,1100,384,376,44,100,29,100,496129702,148886108,125,39,1,100
2024-01-01 00:00:00,HWI002,HWI002-C2,286,284,253,251,99,97,4,100,9,100,51988532,41912122,13,11,0,19
2024-01-01 01:00:00,HWI002,HWI002-C2,291,290,237,236,89,87,5,100,5,100,57367431,24935013,16,7,0,21
2024-01-01 02:00:00,HWI002,HWI002-C2,297,295,247,246,99,97,15,100,4,100,202481688,17507438,51,5,30,22
2024-01-01 03:00:00,HWI002,HWI002-C2,312,310,256,255,80,78,1,100,7,100,14295063,32635664,4,9,2,25
2024-01-01 04:00:00,HWI002,HWI002-C2,271,270,228,227,88,86,9,100,3,100,120465118,15001699,36,4,0,22
2024-01-01 05:00:00,HWI002,HWI002-C2,285,284,238,235,85,83,8,100,1,100,111852716,5373853,28,1,0,22
2024-01-01 06:00:00,HWI002,HWI002-C2,1190,1179,1001,1000,459,453,47,100,26,100,541510991,122619967,149,33,0,83
2024-01-01 07:00:00,HWI002,HWI002-C2,2114,2100,1733,1732,658,647,71,100,46,100,820708196,221103187,245,62,0,144
2024-01-01 08:00:00,HWI002,HWI002-C2,2007,1997,1687,1685,675,666,61,100,43,100,804033197,213152487,216,53,0,149
2024-01-01 09:00:00,HWI002,HWI002-C2,1853,1847,1622,1621,583,573,73,100,48,100,829808502,232504445,222,63,1,159
2024-01-01 10:00:00,HWI002,HWI002-C2,1672,1662,1456,1451,538,532,52,100,36,100,608426921,180015044,163,45,0,104
2024-01-01 11:00:00,HWI002,HWI002-C2,1493,1483,1238,1232,481,473,59,100,39,100,816865902,169708031,228,45,2,106
2024-01-01 12:00:00,HWI002,HWI002-C2,1657,1649,1455,1454,535,528,69,100,29,100,913645713,128904505,276,35,0,123
2024-01-01 13:00:00,HWI002,HWI002-C2,1617,1611,1313,1309,603,592,65,100,40,100,841279093,213603914,224,64,0,131
2024-01-01 14:00:00,HWI002,HWI002-C2,1241,1234,1012,1011,328,322,42,100,20,100,537197654,85277058,134,21,0,93
2024-01-01 15:00:00,HWI002,HWI002-C2,1155,1154,972,969,399,394,42,100,25,100,487181736,127219037,143,34,0,87
2024-01-01 16:00:00,HWI002,HWI002-C2,1199,1196,982,981,384,377,42,100,24,100,552005529,116282486,141,35,1,91
2024-01-01 17:00:00,HWI002,HWI002-C2,2333,2331,2066,2058,778,767,81,100,45,100,981977185,230779775,281,68,0,184
2024-01-01 18:00:00,HWI002,HWI002-C2,2312,2305,1995,1992,864,850,82,100,47,100,999318002,215524199,305,63,2,158
2024-01-01 19:00:00,HWI002,HWI002-C2,2283,2265,1858,1855,770,765,86,100,54,100,1211690761,273835999,344,83,0,163
2024-01-01 20:00:00,HWI002,HWI002-C2,2446,2426,2110,2105,751,731,84,100,55,100,1086750357,253304924,311,76,0,178
2024-01-01 21:00:00,HWI002,HWI002-C2,2293,2275,1996,1995,793,779,82,100,51,100,966152740,219819846,263,56,0,133
2024-01-01 22:00:00,HWI002,HWI002-C2,1163,1158,970,964,350,344,47,100,23,100,623628670,103771923,182,29,0,89
2024-01-01 23:00:00,HWI002,HWI002-C2,1000,994,836,832,347,341,48,100,26,100,594427134,129047923,150,38,180,84
2024-01-01 00:00:00,HWI002,HWI002-C3,299,297,255,253,88,86,12,100,8,100,138616169,41861813,41,10,0,19
2024-01-01 01:00:00,HWI002,HWI002-C3,299,298,242,241,99,98,8,100,11,100,106451789,48128787,28,12,0,22
2024-01-01 02:00:00,HWI002,HWI002-C3,258,257,213,212,88,86,9,100,6,100,124097496,27183960,34,7,5,19
2024-01-01 03:00:00,HWI002,HWI002-C3,254,252,217,215,83,81,1,100,3,100,12659673,15938489,3,3,0,21
2024-01-01 04:00:00,HWI002,HWI002-C3,276,275,236,234,86,85,11,100,1,100,132614641,4750541,35,1,10,20
2024-01-01 05:00:00,HWI002,HWI002-C3,297,296,263,262,84,82,6,100,12,100,85213849,59242283,25,17,60,21
2024-01-01 06:00:00,HWI002,HWI002-C3,1172,1163,1039,1037,385,378,37,100,36,100,444590051,159037144,133,40,60,84
2024-01-01 07:00:00,HWI002,HWI002-C3,2025,2022,1670,1663,629,616,71,100,45,100,959951843,204675395,251,59,0,130
2024-01-01 08:00:00,HWI002,HWI002-C3,1904,1896,1632,1629,623,616,68,100,48,100,875904180,216549360,261,62,0,159
2024-01-01 09:00:00,HWI002,HWI002-C3,2045,2031,1706,1705,590,576,80,100,54,100,998663540,242818514,296,70,0,131
2024-01-01 10:00:00,HWI002,HWI002-C3,1635,1627,1410,1405,501,491,59,100,42,100,742672493,180371833,211,52,0,112
2024-01-01 11:00:00,HWI002,HWI002-C3,1663,1659,1370,1362,536,525,64,100,36,100,889785257,168472421,223,42,60,123
2024-01-01 12:00:00,HWI002,HWI002-C3,1531,1517,1332,1331,540,530,64,100,39,100,861201085,187657125,248,56,0,131
2024-01-01 13:00:00,HWI002,HWI002-C3,1549,1543,1362,1360,466,459,62,100,30,100,843543957,136785077,227,40,10,107
2024-01-01 14:00:00,HWI002,HWI002-C3,1121,1112,918,916,339,334,44,100,24,100,578789073,114912748,169,29,180,88
2024-01-01 15:00:00,HWI002,HWI002-C3,1083,1078,938,935,358,351,41,100,30,100,474299798,138827249,121,41,1,95
2024-01-01 16:00:00,HWI002,HWI002-C3,1255,1248,1071,1063,406,398,43,100,30,100,492365176,128773041,126,39,0,82
2024-01-01 17:00:00,HWI002,HWI002-C3,2300,2285,2014,2011,652,640,87,100,53,100,1209313366,243921396,314,67,120,172
2024-01-01 18:00:00,HWI002,HWI002-C3,2310,2293,1875,1862,770,760,78,100,45,100,1040557218,215009957,299,64,0,148
2024-01-01 19:00:00,HWI002,HWI002-C3,2327,2316,1943,1931,731,717,87,100,52,100,1114787849,238416404,331,61,10,140
2024-01-01 20:00:00,HWI002,HWI002-C3,2445,2429,2062,2060,691,682,87,100,50,100,1066882096,211959726,276,64,0,171
2024-01-01 21:00:00,HWI002,HWI002-C3,2273,2261,1935,1934,889,875,69,100,51,100,914869186,265855151,249,75,0,162
2024-01-01 22:00:00,HWI002,HWI002-C3,1110,1109,925,922,363,358,38,100,34,100,524970426,163878038,150,43,120,73
2024-01-01 23:00:00,HWI002,HWI002-C3,1196,1191,1034,1031,336,332,46,100,32,100,641610729,163555589,178,45,0,83
2024-01-01 00:00:00,HWI003,HWI003-C1,262,261,213,212,105,103,14,100,11,100,172056815,50644845,51,14,5,18
2024-01-01 01:00:00,HWI003,HWI003-C1,278,276,234,233,89,88,5,100,3,100,64292147,14467305,16,4,0,19
2024-01-01 02:00:00,HWI003,HWI003-C1,271,269,233,231,99,97,5,100,5,100,57271970,24170112,16,6,120,21
2024-01-01 03:00:00,HWI003,HWI003-C1,276,273,236,234,101,99,13,100,7,100,182221368,37585004,49,10,0,22
2024-01-01 04:00:00,HWI003,HWI003-C1,296,293,243,242,91,89,12,100,7,100,142484180,31301043,40,9,0,20
2024-01-01 05:00:00,HWI003,HWI003-C1,282,280,237,235,84,82,5,100,9,100,67892348,40128082,17,11,0,22
2024-01-01 06:00:00,HWI003,HWI003-C1,1212,1207,1041,1034,348,343,43,100,24,100,582048827,115451589,161,32,0,102
2024-01-01 07:00:00,HWI003,HWI003-C1,2060,2048,1766,1764,624,611,68,100,47,100,880755607,213740946,241,57,0,156
2024-01-01 08:00:00,HWI003,HWI003-C1,1865,1857,1582,1574,669,658,69,100,46,100,916556731,209099571,264,63,2,143
2024-01-01 09:00:00,HWI003,HWI003-C1,1923,1907,1595,1589,650,639,73,100,44,100,1012612419,226651911,264,57,0,149
2024-01-01 10:00:00,HWI003,HWI003-C1,1595,1585,1372,1367,532,522,60,100,40,100,756979980,170514281,212,49,60,135
2024-01-01 11:00:00,HWI003,HWI003-C1,1737,1731,1493,1485,502,498,58,100,33,100,664638166,170141367,176,45,180,127
2024-01-01 12:00:00,HWI003,HWI003-C1,1541,1531,1255,1254,503,498,58,100,38,100,759325239,185396262,208,56,0,113
2024-01-01 13:00:00,HWI003,HWI003-C1,1641,1634,1450,1449,533,524,60,100,37,100,773016815,173703753,212,46,10,144
2024-01-01 14:00:00,HWI003,HWI003-C1,1139,1133,1007,1006,378,372,40,100,27,100,465095029,137494125,126,38,0,91
2024-01-01 15:00:00,HWI003,HWI003-C1,1044,1038,878,875,360,352,51,100,24,100,634828140,114613810,159,34,0,87
2024-01-01 16:00:00,HWI003,HWI003-C1,1113,1105,902,899,428,421,44,100,32,100,525966982,135687610,131,37,0,96
2024-01-01 17:00:00,HWI003,HWI003-C1,2354,2343,2046,2029,850,841,87,100,59,100,1233265357,271644970,310,73,0,163
2024-01-01 18:00:00,HWI003,HWI003-C1,2290,2279,1881,1872,801,785,84,100,51,100,1191509482,259587010,299,73,0,185
2024-01-01 19:00:00,HWI003,HWI003-C1,2446,2437,2123,2109,808,795,83,100,52,100,1091325068,244149807,328,74,0,179
2024-01-01 20:00:00,HWI003,HWI003-C1,2301,2296,2043,2038,681,670,94,100,54,100,1277953902,254406000,346,66,0,185
2024-01-01 21:00:00,HWI003,HWI003-C1,2298,2291,1992,1991,805,794,86,100,49,100,985684448,211348671,276,56,0,197
2024-01-01 22:00:00,HWI003,HWI003-C1,1106,1102,925,921,400,391,42,100,32,100,499468802,138385161,147,39,0,92
2024-01-01 23:00:00,HWI003,HWI003-C1,1071,1068,873,869,372,365,45,100,27,100,576399330,139992811,161,41,10,93
2024-01-01 00:00:00,HWI003,HWI003-C2,294,293,259,257,97,95,8,100,4,100,103534576,21349694,26,5,0,20
2024-01-01 01:00:00,HWI003,HWI003-C2,287,285,240,239,86,84,9,100,3,100,103558070,14424185,28,4,0,26
2024-01-01 02:00:00,HWI003,HWI003-C2,277,275,244,243,89,87,10,100,9,100,116562787,41976746,34,12,0,24
2024-01-01 03:00:00,HWI003,HWI003-C2,300,298,251,250,97,95,1,100,10,100,13319207,47942477,3,13,0,19
2024-01-01 04:00:00,HWI003,HWI003-C2,284,283,242,241,86,84,6,100,6,100,68195232,27822523,20,7,0,19
2024-01-01 05:00:00,HWI003,HWI003-C2,282,280,242,241,87,85,5,100,8,100,59915748,42035209,15,11,0,26
2024-01-01 06:00:00,HWI003,HWI003-C2,1114,1107,928,925,399,389,36,100,23,100,490382331,119836359,136,36,180,71
2024-01-01 07:00:00,HWI003,HWI003-C2,1982,1966,1718,1703,600,595,62,100,46,100,794817405,214047078,233,56,0,170
2024-01-01 08:00:00,HWI003,HWI003-C2,2079,2069,1736,1733,784,777,71,100,49,100,806828796,244045164,209,68,0,168
2024-01-01 09:00:00,HWI003,HWI003-C2,1793,1790,1468,1466,622,611,67,100,43,100,879061905,182327051,229,53,0,163
2024-01-01 10:00:00,HWI003,HWI003-C2,1615,1604,1342,1341,465,454,62,100,39,100,702386483,197110963,198,53,0,112
2024-01-01 11:00:00,HWI003,HWI003-C2,1535,1527,1314,1312,527,520,65,100,32,100,876647012,156179509,231,46,30,135
2024-01-01 12:00:00,HWI003,HWI003-C2,1627,1626,1325,1323,500,496,57,100,39,100,763785916,208869033,212,57,0,111
2024-01-01 13:00:00,HWI003,HWI003-C2,1640,1637,1418,1414,545,541,60,100,39,100,849887565,179199809,228,54,0,140
2024-01-01 14:00:00,HWI003,HWI003-C2,1108,1100,924,920,334,329,36,100,36,100,458048845,153420788,134,40,0,104
2024-01-01 15:00:00,HWI003,HWI003-C2,988,986,864,863,403,393,38,100,20,100,431618613,100757647,126,28,0,76
2024-01-01 16:00:00,HWI003,HWI003-C2,1131,1128,927,924,352,348,37,100,29,100,458590280,145395241,115,43,2,84
2024-01-01 17:00:00,HWI003,HWI003-C2,2344,2325,2059,2051,775,761,85,100,57,100,1111015374,294406475,306,86,0,161
2024-01-01 18:00:00,HWI003,HWI003-C2,2402,2389,1980,1979,703,694,85,100,51,100,1160601471,264342954,322,79,0,176
2024-01-01 19:00:00,HWI003,HWI003-C2,2230,2225,1891,1886,685,674,88,100,57,100,1195235674,240956596,329,71,0,205
2024-01-01 20:00:00,HWI003,HWI003-C2,2339,2331,2065,2059,826,817,81,100,51,100,917267936,252475440,277,66,2,185
2024-01-01 21:00:00,HWI003,HWI003-C2,2288,2284,2035,2034,652,643,83,100,52,100,1017160853,225732836,309,60,60,145
2024-01-01 22:00:00,HWI003,HWI003-C2,1110,1103,935,931,421,416,53,100,31,100,645577226,141729797,187,43,0,90
2024-01-01 23:00:00,HWI003,HWI003-C2,1183,1177,1028,1027,364,360,33,100,23,100,442279124,121907741,113,31,60,79
2024-01-01 00:00:00,HWI003,HWI003-C3,301,300,267,266,110,108,10,100,16,100,122767834,84652648,32,24,0,24
2024-01-01 01:00:00,HWI003,HWI003-C3,290,287,235,234,107,105,6,100,5,100,72925016,22295616,20,5,0,19
2024-01-01 02:00:00,HWI003,HWI003-C3,288,286,240,239,88,86,2,100,5,100,22982204,23008230,6,6,1,21
2024-01-01 03:00:00,HWI003,HWI003-C3,276,275,236,234,94,92,20,100,14,100,270562653,61347497,80,18,2,24
2024-01-01 04:00:00,HWI003,HWI003-C3,285,283,232,229,96,94,19,100,2,100,223745417,9980201,65,2,0,24
2024-01-01 05:00:00,HWI003,HWI003-C3,292,291,237,236,87,86,3,100,2,100,40003087,10722490,10,3,0,26
2024-01-01 06:00:00,HWI003,HWI003-C3,1160,1157,997,992,409,403,51,100,26,100,671517528,127689091,195,35,180,79
2024-01-01 07:00:00,HWI003,HWI003-C3,1793,1779,1559,1557,641,627,72,100,47,100,862212205,249872466,253,74,0,154
2024-01-01 08:00:00,HWI003,HWI003-C3,1909,1899,1566,1562,674,662,73,100,49,100,838971021,243469426,244,63,0,158
2024-01-01 09:00:00,HWI003,HWI003-C3,1871,1858,1518,1516,670,657,68,100,44,100,942707207,232596909,266,68,120,149
2024-01-01 10:00:00,HWI003,HWI003-C3,1546,1535,1317,1311,539,530,51,100,32,100,645441417,146469650,174,40,30,103
2024-01-01 11:00:00,HWI003,HWI003-C3,1610,1603,1314,1312,526,518,53,100,35,100,702547824,178949782,186,54,0,122
2024-01-01 12:00:00,HWI003,HWI003-C3,1513,1507,1321,1317,481,474,61,100,31,100,823082945,139800406,222,39,0,113
2024-01-01 13:00:00,HWI003,HWI003-C3,1764,1759,1502,1498,622,607,68,100,43,100,803677167,200938467,243,56,0,118
2024-01-01 14:00:00,HWI003,HWI003-C3,1151,1148,937,931,363,356,45,100,28,100,640972438,142832858,161,42,0,106
2024-01-01 15:00:00,HWI003,HWI003-C3,1155,1147,939,937,390,384,42,100,28,100,585065155,145925770,154,39,0,75
